"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR39","FR39_625",625,0,30.1705069263048,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR39","FR39_626",626,0,8.96121289735232,14.3902688862592,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_627",627,0,6.96619834721184,19.7866197186064,66.1625317202326,108.057837273183,18.1840670471821,34.5693504835818,"recruit","alive","alive","alive","alive","alive"
"FR39","FR39_628",628,0,6.23033232461904,19.6557990923677,45.8199243401117,63.0718944253429,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_629",629,0,13.8179286464648,19.4105104181701,36.5807176120021,60.7007705747661,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_630",630,0,5.28188278438832,20.342607380121,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_631",631,0,8.38887265755792,24.6433354677189,36.0410825287674,0,0,0,"recruit","alive","alive","died","AD","AD"
"FR39","FR39_632",632,0,24.8722715636366,52.2955453389283,86.8485432442302,230.031718662509,290.454495406518,299.399355725591,"recruit","alive","alive","alive","alive","alive"
"FR39","FR39_633",633,0,7.2768973345288,24.7250983591181,23.5804178795293,0,0,0,"recruit","alive","alive","died","AD","AD"
"FR39","FR39_634",634,0,5.314587940948,15.4858916310085,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_635",635,0,3.4340414387664,8.7486293797144,20.1954341756024,32.8359771859187,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_636",636,0,5.42905598890688,17.4972587594288,42.516703527584,95.0575375407099,97.0034943560109,0,"recruit","alive","alive","alive","alive","died"
"FR39","FR39_637",637,0,8.7486293797144,26.57293970474,97.7884181134432,82.891219300509,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_638",638,0,13.2782935632301,20.4897805846395,70.2997340250322,122.758805146759,52.1974298692493,0,"recruit","alive","alive","alive","alive","died"
"FR39","FR39_639",639,0,12.7059533234357,48.8778564784418,85.5076318252834,114.042880923604,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_64",64,85.131522524847,106.160938192721,61.1095850317621,22.8281992786566,71.7878186484976,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_640",640,0,12.2807862881598,32.5579833551614,67.4216802477803,112.358565360781,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_641",641,0,10.727291351575,43.0072808759792,87.7315824713416,87.1592422315472,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_642",642,0,7.45677569560704,25.5427272731101,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_643",643,0,2.60005994649456,23.6458281926486,49.5973699227547,101.336927600168,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_644",644,0,9.04297578875152,21.5199930162694,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_645",645,0,10.6618810384557,20.4407228498,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_646",646,0,11.3159841696493,33.2447916429147,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_647",647,0,4.3334332441576,18.0041886861038,0,0,0,0,"recruit","alive","died","AD","AD","AD"
"FR39","FR39_648",648,0,13.6053451288269,53.7018670709946,82.7767512525501,87.4372360623045,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_66",66,400.58911012124,352.921344435507,348.179096734353,433.37602957232,457.136325812927,479.37583227351,583.443640446411,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_67",67,69.7600989417974,110.854128159035,96.2349231768584,16.2381102318811,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_68",68,346.723717267448,311.631084278911,335.375027941239,382.27422244782,272.989941803649,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_69",69,152.994722386183,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_7",7,74.0117692945558,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_700",700,0,8.92850774079264,26.8672861137771,102.15455651416,0,0,0,"recruit","alive","alive","died","AD","AD"
"FR39","FR39_701",701,0,3.79379816092288,33.6045483650712,54.879252707143,95.9569293461011,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_705",0,0,0,1.42267431034608,26.6056448612997,36.4171918292037,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_706",0,0,0,7.42407053904736,13.4254667677486,14.5047369342181,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_708",0,0,0,107.779843442425,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR39","FR39_71",71,162.397454897091,218.405035505543,274.020154235279,259.253776048583,273.120762429888,144.11527238023,161.579825983099,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_710",0,0,0,17.0884443024328,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR39","FR39_713",0,0,0,7.75112210464416,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR39","FR39_714",0,0,0,12.8694791062341,22.5011477130598,49.1885554657587,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_716",0,0,0,11.3323367479291,39.3115981847354,94.3870818312365,57.7736590626747,94.6814282402736,"BC","recruit","alive","alive","alive","alive"
"FR39","FR39_72",72,251.715237461577,261.445021538082,287.347505533349,356.633379705031,424.709163084005,362.095140850497,0,"alive","alive","alive","alive","alive","died"
"FR39","FR39_720",0,0,0,8.19264171819984,16.8758607847949,15.5513019441278,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_721",0,0,0,9.94236759414272,43.9393778379301,26.5565871264602,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_722",0,0,0,7.01525608205136,35.1743958799358,83.4308543837437,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_723",0,0,0,112.881847865736,109.725800257726,193.892520664063,259.61353277074,322.342023052206,"BC","recruit","alive","alive","alive","alive"
"FR39","FR39_724",0,0,0,3.33592596908736,21.3728198117509,12.1499656619211,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_725",0,0,0,16.0582318708029,51.510621581496,69.809156676637,125.293454780134,180.810458040191,"BC","recruit","alive","alive","alive","alive"
"FR39","FR39_727",0,0,0,5.26553020610848,25.8861314169867,68.582713305649,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_73",73,93.2914590864872,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_730",0,0,0,6.19762716805936,32.5743359334413,54.0452712148712,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_732",0,0,0,6.93349319065216,33.0976184383962,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_734",0,0,0,7.58759632184576,13.2946461415099,13.6544028636664,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_738",0,0,0,85.5730421384027,0,0,0,0,"BC","recruit","died","AD","AD","AD"
"FR39","FR39_739",0,0,0,228.461871147645,299.203124786232,208.887834946676,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_74",74,408.749046682881,118.196435806684,56.2365167043698,20.8004795719565,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_740",0,0,0,5.8869281807424,37.5782248870723,83.9704894669784,21.0948259809936,0,"BC","recruit","alive","alive","alive","died"
"FR39","FR39_743",0,0,0,195.266137239569,261.60854732088,319.006097083119,325.677949021293,394.195252013823,"BC","recruit","alive","alive","alive","alive"
"FR39","FR39_744",0,0,0,25.9024839952666,41.6827220353122,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_745",0,0,0,3.81015073920272,24.6106303111592,47.9621120947707,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_746",0,0,0,12.6568955885962,46.5557903627045,88.7290897464118,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_748",0,0,0,43.4160953329752,43.2852747067365,37.709045513311,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_75",75,175.283286581605,44.5444232342842,59.2126859513006,69.49845768932,92.9317023643307,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_752",0,0,0,2.7799383075728,16.8268030499554,48.8287987436022,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_753",0,0,0,2.97616924693088,18.494766034499,57.1032033532013,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_755",0,0,0,3.05793213833008,16.761392736836,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_756",0,0,0,5.78881271106336,18.1350093123426,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_757",0,0,0,11.9373821442832,41.3556704697154,113.339720057571,79.1791840309853,233.514817836115,"BC","recruit","alive","alive","alive","alive"
"FR39","FR39_758",0,0,0,5.4781137237464,20.4897805846395,54.3069124673486,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_759",0,0,0,11.4631573741678,18.3639454082603,38.0688022354675,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_76",76,148.530468515787,176.068210339037,231.110988828979,256.735478993488,266.056448612997,240.15396461773,247.954144457214,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_760",0,0,0,9.90966243758304,29.5000512168314,42.4676457927445,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_761",0,0,0,5.98504365042144,22.0432755212243,60.8970015141242,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_762",0,0,0,8.9121551625128,34.7165236881003,79.2282417658248,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_763",0,0,0,13.801576068185,34.5039401704624,68.9097648712458,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_764",0,0,0,6.41021068569728,14.8317884998149,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_765",0,0,0,6.63914678161504,29.2547625426338,69.5638680024394,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_766",0,0,0,6.41021068569728,23.0898405311341,85.3277534642051,58.5095250852675,0,"BC","recruit","alive","alive","alive","died"
"FR39","FR39_767",0,0,0,11.4631573741678,36.1228454201666,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_768",0,0,0,9.27191188466928,21.0948259809936,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_769",0,0,0,5.41270341062704,21.5854033293888,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_77",77,78.2307344907546,149.18457164698,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_770",0,0,0,16.0255267142432,32.1655214764453,54.6666691895051,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_771",0,0,0,15.3550710047698,40.5543941340032,40.5053363991637,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_772",0,0,0,7.73476952636432,26.2458881391432,73.1614352240042,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_773",0,0,0,8.40522523583776,39.3770084978547,78.6559015260304,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_774",0,0,0,6.73726225129408,23.5967704578091,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_775",0,0,0,14.5374420907778,39.0826620888176,71.0683052041846,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_776",0,0,0,3.82650331748256,9.04297578875152,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_777",0,0,0,10.2694191597395,17.1538546155522,28.1591397978845,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_778",0,0,0,14.0632173206624,29.3528780123128,29.3855831688725,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_779",0,0,0,7.89829530916272,27.1289273662546,0,0,0,"BC","recruit","alive","died","AD","AD"
"FR39","FR39_78",78,41.5028436742339,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_780",0,0,0,7.73476952636432,24.6433354677189,52.2955453389283,0,0,"BC","recruit","alive","alive","died","AD"
"FR39","FR39_781",0,0,0,10.9889326040525,14.4393266210987,32.8850349207582,0,0,"BC","recruit","alive","alive","died","AD"
