"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR14","FR14_177","coral_I",2019,223.0837272,5.40754715928925,0,0,-0.264610951550469,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1774","coral_I",2019,50.552599,3.92301435858595,0,0,-1.4930490657348,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1776","coral_I",2019,34.06592881,3.52829772966928,0,0,-0.579454618622255,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1777","coral_I",2019,24.23263294,3.18770019339042,1,0,0,0,6.3129,4.63,0,0,0,2015,2017,0.198215124471584,0.198215124471584
"FR14","FR14_1778","coral_I",2019,36.16956922,3.58821813602303,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_179","coral_G",2019,192.24664181,5.25877914040484,0,0,-0.54458635629818,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1803","coral_I",2019,113.40089466,4.73092928068052,0,0,0.0881886325507815,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1809","coral_I",2019,28.03223151,3.33335497349556,0,0,-0.277596479396993,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1810","coral_I",2019,34.65299125,3.54538404947123,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_1818","coral_I",2019,34.13115797,3.53021069055871,0,0,-1.33155005130438,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1827","coral_I",2019,346.0406938,5.84655638028069,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_1830","coral_I",2019,123.41357072,4.81554107884443,0,0,-0.398570357909806,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1831","coral_I",2019,48.18804195,3.87511089795291,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_1836","coral_I",2019,22.3409873,3.10642298693488,1,0,0,0,6.3129,4.63,0,1,0,2015,2018,0.198215124471584,0.198215124471584
"FR14","FR14_1837","coral_I",2019,24.18371107,3.18567931025065,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_1838","coral_I",2019,42.96970915,3.76049542908818,1,0,0,0,6.3129,4.63,0,0,0,2015,2016,0.198215124471584,0.198215124471584
"FR14","FR14_1846","coral_G",2019,194.82319363,5.27209244792994,0,0,0.0703869001257557,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1848","coral_G",2019,17.64448778,2.87042342751914,0,0,-1.75967282897663,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_185","coral_G",2019,316.16573852,5.75626656507798,0,0,0.0445619586378837,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1855","coral_G",2019,138.02490256,4.92743412221079,0,0,0.064538521137571,0,6.3129,4.63,0,0,0,2015,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1856","coral_G",2019,90.06516267,4.5005334380139,1,0,0,1,6.3129,4.63,4.63,1,0,2015,2016,0.198215124471584,0.198215124471584
